Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A+B+C,Diversity (Runtime),SC,0.97072,0.9708064130174683,0.9679497375536822,0.97368
A+B+D,Diversity (Runtime),SC,0.97008,0.970199203187251,0.9663492063492064,0.97408
A+D,Diversity (Runtime),RC,0.97008,0.97008,0.97008,0.97008
A+C+D,Diversity (Runtime),SC,0.9694,0.9694598586769931,0.9675671368236513,0.97136
A+D,Average,SC,0.96872,0.9687998723268433,0.9663323782234957,0.97128
A+D,Performance (Train Recall),SC,0.968,0.9681071599425929,0.9648760330578512,0.97136
A+D,Performance (Train F1),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Accuracy),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Precision),SC,0.96696,0.9670785173375847,0.9636219221604448,0.97056
A+B+D,Performance (Train Precision),SC,0.96532,0.9654622953431861,0.9615170991033881,0.96944
A+C,Average,SC,0.96532,0.9653324803070894,0.9649852106483332,0.96568
A+B+D,Performance (Train F1),SC,0.96516,0.9653001872435362,0.9614316324101262,0.9692
A+B+D,Performance (Train Accuracy),SC,0.96512,0.9652617321328978,0.9613553404221552,0.9692
A+B+D,Performance (Train Recall),SC,0.96492,0.9650611529421138,0.9611935560669788,0.96896
A+B+D,Average,SC,0.96444,0.9645915481738161,0.9604981359562148,0.96872
A+C,Performance (Train Recall),SC,0.96428,0.9642842858856937,0.9641685995361113,0.9644
A+B+C+D,Diversity (Runtime),SC,0.96424,0.9643938187032022,0.9602633248730964,0.96856
A+C,Performance (Train Accuracy),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+C,Performance (Train F1),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+C,Performance (Train Precision),SC,0.96396,0.9639499059736726,0.9642199631793804,0.96368
A+C,Diversity (Runtime),RC,0.96344,0.96344,0.96344,0.96344
A+C+D,Diversity (Runtime),RC,0.96288,0.96288,0.96288,0.96288
A+B+C,Average,SC,0.96264,0.9627502592326713,0.9599172896452999,0.9656
A+B+C,Performance (Train Recall),SC,0.96228,0.9623928215353938,0.9595228628230617,0.96528
A+B+C,Performance (Train Accuracy),SC,0.9622,0.9623100546404499,0.9595164240833532,0.96512
A+B+C,Performance (Train F1),SC,0.9622,0.9623100546404499,0.9595164240833532,0.96512
A+B+C,Performance (Train Precision),SC,0.96208,0.9621919119406557,0.9593605853348178,0.96504
A+D,Performance (Train Precision),RC,0.96168,0.96168,0.96168,0.96168
A+D,Performance (Train Accuracy),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train F1),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train Recall),RC,0.96128,0.96128,0.96128,0.96128
A+D,Average,RC,0.96072,0.96072,0.96072,0.96072
A+B,Average,RC,0.96056,0.96056,0.96056,0.96056
A+B,Performance (Train Recall),RC,0.96024,0.96024,0.96024,0.96024
